Categorie_template_2,Categorie_template_1,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34
Specialised Lending,rated (only for jurisdictions where rating is allowed),"0,169157658","0,2872487833","0,701095053","0,319486582","0,8035821042","0,01726720331","0,7205372358","0,3778990695","0,1883647587","0,8868440852","0,3835226939","0,2776186175","0,1484459954","0,09018942113","0,4284433867","0,6761375568","0,8347186637","0,4659963128","0,6289664022","0,3600256132","0,2157508603","0,6737728144","0,02092017016","0,5127214731","0,8465752834","0,067901591","0,922680585","0,621412768","0,7474608618","0,9854008656","0,8266022094","0,3312628051","0,8164035403","0,5119921158"
,project finance; of which:,"0,2630775535","0,7621156304","0,9540929572","0,2766828052","0,9602691222","0,3630755858","0,4111914373","0,4896551876","0,0001121144768","0,4893020006","0,6877907985","0,3027226081","0,4420008278","0,6800247894","0,9406822045","0,9874467978","0,6158390677","0,6764548451","0,9110863536","0,179930999","0,001258379304","0,2831820914","0,01383117564","0,482454787","0,4883413723","0,6751121847","0,1038872536","0,2363097301","0,741682191","0,2177211864","0,5781284441","0,973556773","0,9257495495","0,9748532429"
Specialised Lending,pre-operational phase,"0,8052583548","0,211932482","0,7109547263","0,02939718475","0,3097452425","0,8546222297","0,8776959388","0,2299508826","0,3685287882","0,5486531196","0,8816679045","0,7471367281","0,1471884897","0,5004507787","0,5986730097","0,872564988","0,4984605585","0,8967931799","0,9071573054","0,5707805838","0,01637554778","0,9683287913","0,2844343498","0,2737444962","0,8012543357","0,413252797","0,5611090889","0,9253200302","0,6185762771","0,8136179764","0,05040753254","0,3520881418","0,9286789975","0,3535151218"
Specialised Lending,operational phase,"0,4042413029","0,7580168331","0,2456607376","0,917767174","0,6191432261","0,09399110147","0,2534031516","0,6468259991","0,6201414229","0,5894727627","0,1813673249","0,1571971336","0,4016426131","0,1186828035","0,7513135241","0,03450257127","0,05688198252","0,8178536168","0,0253886574","0,07701949575","0,4921733647","0,2987221905","0,7798981766","0,5261818356","0,5786490197","0,6830043604","0,4827813379","0,5597895994","0,9735750194","0,008539879938","0,3944739078","0,4526193761","0,7075864166","0,1173681373"
Specialised Lending,operational phase (high quality),"0,2883824653","0,4630498344","0,361108791","0,05854959982","0,8921049409","0,7341355088","0,7178478773","0,06285432704","0,8627541566","0,7341459641","0,603019382","0,6903729845","0,5169143449","0,8494490062","0,4870929827","0,6163203815","0,2969684317","0,1465724868","0,9378730617","0,6306879505","0,1854790196","0,7692363157","0,6598896365","0,362407329","0,02911230066","0,2498177327","0,4036137125","0,1195620299","0,2817791825","0,3232935156","0,7019251064","0,3541000478","0,9237377829","0,08658470794"
Specialised Lending,object finance,"0,6079789966","0,1760724245","0,3746186937","0,1716750083","0,1947862607","0,796528378","0,05959231668","0,8730681401","0,02929063837","0,3118553152","0,2379170106","0,5074632102","0,02475568533","0,6569067184","0,8953111499","0,8407139483","0,892900813","0,4848668749","0,9281272862","0,3287835423","0,9066006565","0,194852665","0,5577375617","0,9514550279","0,5947789737","0,9247373561","0,8269706214","0,3135867211","0,6508999853","0,6443594561","0,724162131","0,04214098049","0,7788423388","0,7469737746"
Specialised Lending,commodity finance,"0,3789663618","0,6104448658","0,6737656257","0,1620792347","0,7260527284","0,7223581993","0,9286537164","0,02194734868","0,1615258106","0,8611807365","0,8242089287","0,365930106","0,832455721","0,5367884653","0,7158173202","0,4594722029","0,9876793773","0,2495038771","0,7345004896","0,8168300956","0,5088715441","0,4859384002","0,06168712348","0,4772705093","0,7405175023","0,03242108897","0,8706382654","0,2880181444","0,5566840392","0,8136851567","0,8592392619","0,4235973166","0,5526806436","0,5474925503"
,Equity and subordinated debt etc exposures; of which:,"0,2436888472","0,2180305391","0,2839227626","0,7065208925","0,6715379797","0,6308763555","0,6460538651","0,4876942601","0,5001177702","0,2760317332","0,4045895883","0,1522363549","0,4881253366","0,2367527502","0,1823980224","0,5369267848","0,3663909257","0,1965204248","0,9033977387","0,8411724842","0,5798505893","0,2970852288","0,4963741664","0,6336065075","0,602170632","0,3630554872","0,2307285673","0,845180081","0,3178053662","0,9392267821","0,04466326433","0,7520740967","0,2367776678","0,8026708511"
,Equity exposures; of which:,"0,712153313","0,3677119939","0,3632715951","0,9239803272","0,3908402057","0,736522822","0,5748896668","0,463810819","0,562588492","0,2680155146","0,6073185128","0,1237714205","0,01642343804","0,3625357126","0,4909357356","0,06842118726","0,4618397719","0,377313822","0,9597303515","0,190271538","0,8232685092","0,7526505525","0,05994278732","0,1332481993","0,6517590425","0,9772491911","0,8581742618","0,3202931233","0,2465581502","0,5090578568","0,9925259527","0,8500048169","0,9825884318","0,9291182704"
Equity exposures,speculative unlisted,"0,5390537134","0,8228359344","0,9766940655","0,1616372182","0,8003626522","0,2742997617","0,006936242881","0,08111630457","0,7218503552","0,102345569","0,1455397892","0,7957618925","0,332691306","0,7250671301","0,8122004268","0,3749500069","0,1955135803","0,1877837988","0,002050118496","0,1291187004","0,598141859","0,3850743785","0,7490355438","0,07341181392","0,1237326717","0,6085375171","0,6746743896","0,4241570508","0,09652484059","0,5290737879","0,2116973691","0,08316459249","0,7490606319","0,1414298593"
Equity exposures,exposures to certain legislative programs,"0,7144887833","0,2228817933","0,4917024332","0,460955466","0,04130277018","0,7483307595","0,2047329051","0,301966926","0,2429136289","0,1472610813","0,7077174226","0,3425100724","0,7265599498","0,169353971","0,2320046454","0,8579488034","0,2075107722","0,6965803281","0,9193688902","0,5985939722","0,6417833671","0,9010124793","0,6634215073","0,8382988894","0,5741258921","0,4637826506","0,4825747877","0,9258063167","0,0002949898957","0,7943057757","0,4635290487","0,3780617926","0,9491025116","0,6781415349"
Equity exposures,others,"0,08702882019","0,2547438451","0,649710164","0,9357068492","0,6933789619","0,7627021697","0,9847288365","0,7672989147","0,9805244564","0,08109972735","0,0852737468","0,8278639408","0,5854255612","0,8252327526","0,2626016339","0,3088336913","0,7474127394","0,6603291634","0,2821166199","0,8519806464","0,4383856939","0,8074707291","0,1625209584","0,9941319559","0,1744596334","0,5055671144","0,561884413","0,4442322936","0,4227851268","0,1773371517","0,6082070182","0,7009645984","0,1940265564","0,919322766"
,"Subordinated debt, capital instruments other than equity and other TLAC liabilities not deducted from capital","0,6617158964","0,8693100751","0,3776657139","0,8719403873","0,703133909","0,09486082168","0,7905021016","0,3082234774","0,1397470191","0,9408234018","0,1214297498","0,2113468266","0,9080678967","0,06763947451","0,001322518395","0,4857021872","0,8842185517","0,4985000926","0,2058393342","0,4573195244","0,8020439862","0,3395835603","0,3293156258","0,4741236783","0,2275583713","0,3784108972","0,5973390853","0,7158057163","0,6716634994","0,8612527429","0,2539532385","0,5909029976","0,4826496701","0,8179041841"
,Equity investment in funds; of which:,"0,1027732984","0,7022393169","0,8535348516","0,1685863398","0,4001475349","0,2785782443","0,9826259466","0,2024877273","0,2588263035","0,8489253429","0,8191964152","0,06146107339","0,2599299513","0,1571649457","0,8222109232","0,6075713517","0,4634076491","0,6411356625","0,6914874409","0,05441979957","0,6183324414","0,8040831381","0,725924603","0,5884615101","0,499543538","0,7694137145","0,775316032","0,6136420641","0,7399295104","0,007427113652","0,575454993","0,9073468497","0,7825282483","0,797901285"
Equity investment in funds,equity investment in funds (mandate-based approach),"0,8055682413","0,651504914","0,4650402288","0,5921800108","0,421221129","0,1346865744","0,2393643581","0,2566061344","0,3078474685","0,06396731633","0,1918466042","0,8791341693","0,1031720596","0,2625853667","0,469187258","0,8116620324","0,6157661862","0,4556632507","0,9025969646","0,2324338696","0,1983828609","0,6292037367","0,6213229583","0,395407934","0,837491075","0,8861762628","0,5753215674","0,02388589218","0,1254211746","0,6265064848","0,5265559439","0,3534386548","0,544229354","0,7732893218"
Equity investment in funds,equity investment in funds (fall back approach),"0,7778739697","0,6547133053","0,6023678173","0,8205707281","0,1113208256","0,8895883709","0,3557545272","0,5684968082","0,603061345","0,1412294668","0,09659770551","0,3297884956","0,1026257791","0,4430932934","0,2338450049","0,1164100547","0,4040704503","0,2856236495","0,5038624233","0,3073869605","0,6219777771","0,2782606734","0,4554036578","0,1516607023","0,2375814225","0,5572051619","0,8094925401","0,7274682832","0,3039383722","0,3949012632","0,7051135325","0,2775887693","0,3820783444","0,9955209144"
,Retail exposures; of which:,"0,7531838837","0,4524364681","0,6642126621","0,6473591587","0,2966945507","0,03174349517","0,5442857775","0,8352293898","0,1398630556","0,0982573896","0,7350756854","0,9402672222","0,2319871258","0,5204286349","0,1963049327","0,6152087551","0,744798087","0,2699364958","0,7369271305","0,932165585","0,05016473476","0,1135732178","0,3957797325","0,9279928467","0,5809426664","0,7427245333","0,4659565785","0,788379365","0,5524163553","0,4822006267","0,1974763896","0,7171997662","0,7376020515","0,6938045717"
Retail exposures,regulatory retail: transactors,"0,588628259","0,3003381412","0,9089000562","0,3663642366","0,5007567535","0,2083475389","0,2706761781","0,08198591138","0,4707830861","0,5716370712","0,8909908208","0,6966297595","0,08765707114","0,5851056051","0,7648762904","0,4862095901","0,08311962696","0,9526537481","0,4142759831","0,4856286953","0,350252975","0,6960496922","0,7652966756","0,8316446303","0,5443413471","0,1579910765","0,5383897622","0,3009827197","0,1636558646","0,9741729622","0,2976100782","0,07095043802","0,1689101423","0,5206189132"
Retail exposures,regulatory retail: non-transactors,"0,8830334355","0,2947808583","0,3023853105","0,8179592428","0,999414913","0,7940483616","0,8550865146","0,0401731766","0,5144538217","0,1433837731","0,9266568115","0,3093975458","0,1637936658","0,3991065096","0,485088578","0,8828068741","0,750886748","0,5582761723","0,9645805873","0,6442243924","0,5204257862","0,6239081771","0,08028653998","0,2765827599","0,3897285362","0,2018564441","0,5987494281","0,7719137779","0,1781206909","0,5001204869","0,5502579587","0,9059733805","0,3933074953","0,9030935252"
Retail exposures,other retail,"0,1328848521","0,5262184492","0,2114233624","0,7099382942","0,3320246983","0,2031643321","0,3620222336","0,5176001089","0,7415672115","0,8082770384","0,2291793339","0,347607333","0,5687382549","0,8624346056","0,088314669","0,569127316","0,3073587636","0,3320825869","0,6995845809","0,1618274507","0,3705405761","0,3666722739","0,05059970644","0,2611542436","0,1683180962","0,9280025015","0,001308253783","0,218883334","0,8505831287","0,8816866213","0,6515098238","0,4156656772","0,4249481525","0,3055353559"
,Exposures secured by real estate; of which:,"0,3356379979","0,7259306377","0,3994108922","0,6872269319","0,8544564865","0,3126798595","0,3778064596","0,7312104234","0,194326766","0,4766395821","0,669960155","0,3373379456","0,01439073187","0,3122932027","0,304198747","0,571326691","0,247767746","0,521554811","0,8481189207","0,6203572061","0,173425198","0,1238387877","0,6892692322","0,3989394971","0,2419528089","0,0899626796","0,586657487","0,3524921038","0,9344452261","0,5387071233","0,03254272621","0,3303685023","0,8057693129","0,0147405998"
,general residential real estate; of which:,"0,5008675879","0,125870323","0,5501703476","0,8940984103","0,4805195776","0,1728399496","0,05585012445","0,0321489978","0,4625943846","0,1103168677","0,9241925109","0,2248335098","0,1437797312","0,5559856802","0,5723143375","0,3563825969","0,6654457687","0,771828677","0,8352257149","0,5714761073","0,5865990211","0,9376572396","0,4208532566","0,8459110766","0,009367929038","0,4393040451","0,1147175511","0,4621438389","0,9392039513","0,638669617","0,3931081253","0,5624658212","0,02936458639","0,4805123417"
,whole loan approach; of which:,"0,5385452353","0,9509725225","0,6121871905","0,3065359363","0,99267009","0,8402339734","0,05476602731","0,1769543681","0,9589959801","0,4940919992","0,7416467641","0,7001118378","0,4647400334","0,4095640867","0,6349048045","0,7329983649","0,5825761553","0,5257930618","0,06751615875","0,08697977262","0,2903994503","0,6225881259","0,318318871","0,7958672341","0,8278682553","0,7900919726","0,01439492761","0,8727914396","0,569651651","0,04052728422","0,1801166921","0,9613077781","0,01050584303","0,8409837203"
Whole Loan,LTV ≤ 50%,"0,6625391814","0,3077167324","0,1734894514","0,6313891807","0,9474063723","0,8908142627","0,1637030681","0,2618669827","0,855620295","0,5471484297","0,8969194387","0,5599227387","0,4799765226","0,5217038288","0,4403186753","0,1351750533","0,5691001323","0,1338842015","0,2934385954","0,03830640512","0,237302467","0,8271042556","0,09826633761","0,1035574063","0,586567156","0,7691296231","0,4242556311","0,956059135","0,3487283398","0,09389311817","0,9145547127","0,1443608504","0,551411515","0,7163369959"
Whole Loan,50% <LTV ≤ 60%,"0,7788531442","0,892817257","0,1578556309","0,946255986","0,6987099766","0,4971571571","0,1379116293","0,5796731652","0,3031388504","0,6354137868","0,288549757","0,6411535849","0,6832141252","0,8316259198","0,5363814155","0,9034545066","0,6513567635","0,04417758212","0,1954353883","0,6505416387","0,4468311253","0,265788172","0,2991447198","0,8626608965","0,2660983149","0,8665797412","0,6085848892","0,1942460751","0,6052396286","0,4723662544","0,2475555492","0,5978429193","0,9299831453","0,9564428026"
Whole Loan,60% <LTV ≤ 80%,"0,2885288431","0,5330293556","0,8762433308","0,6805147567","0,833727096","0,512617508","0,2999216878","0,2010394589","0,3561930859","0,1410113471","0,2536529549","0,5235891484","0,4630321819","0,7832555285","0,1122804108","0,7453096888","0,3825771854","0,6138623082","0,9192380135","0,3321103467","0,5505903027","0,5277683231","0,5689117379","0,2720239452","0,4397251066","0,3522375806","0,1990122939","0,1370115709","0,5552535164","0,42553709","0,1207486938","0,7777295157","0,4936938012","0,6521569433"
Whole Loan,80% <LTV ≤ 90%,"0,6919677277","0,4460272195","0,08096952734","0,8633970408","0,06017304534","0,2069407074","0,6975905127","0,6587825012","0,5423330597","0,4891726751","0,7928051145","0,6305726214","0,5361064373","0,6586644373","0,7457200499","0,9278960929","0,4146766733","0,6386724783","0,8527422804","0,249064092","0,6920939767","0,04706106341","0,257876833","0,9842096258","0,477539242","0,3553127545","0,5636247379","0,362265003","0,02457131052","0,4966557171","0,680983243","0,4422741039","0,9128632078","0,4649641461"
Whole Loan,90% <LTV ≤ 100%,"0,5527090727","0,5271654924","0,7351427302","0,3974324201","0,9977202291","0,3665766535","0,9361280981","0,9268476179","0,5413847307","0,898683272","0,9667049496","0,8189876329","0,7823157893","0,2514771592","0,2804558784","0,9031684766","0,5441160666","0,04605867231","0,856134587","0,04681028047","0,9486806878","0,2187400386","0,8787019195","0,2266962049","0,467455752","0,7216860183","0,219805303","0,1617062478","0,1026610326","0,1195781876","0,1260571277","0,09726618653","0,1522423384","0,596860029"
Whole Loan,LTV > 100%,"0,8143214721","0,2805061501","0,8226193309","0,7922790925","0,3470490885","0,223262976","0,6642459091","0,6261362163","0,7782991959","0,9794967918","0,6907128033","0,3206597912","0,5294715193","0,4105295311","0,3861757049","0,4838706131","0,9919332444","0,5567793822","0,4074251143","0,2849652882","0,8167334972","0,9808508435","0,4827115282","0,7968707891","0,456573606","0,4122044564","0,826818149","0,6691415921","0,0615036583","0,2951211058","0,3403563934","0,122074143","0,01438665821","0,5340586747"
Whole Loan,Requirements not met,"0,1095457079","0,1417381897","0,7790992287","0,118513139","0,7093646182","0,754976421","0,9077370777","0,4342482355","0,3587198782","0,1793603536","0,9657836062","0,7289301854","0,2301520406","0,5595612754","0,6504269064","0,9659293518","0,6289856306","0,04833231215","0,8694078489","0,07746631193","0,520568232","0,07940851866","0,5473561961","0,810435908","0,318256334","0,3497087063","0,2323785415","0,9344417681","0,3522228171","0,08154880996","0,6558830091","0,4945665514","0,3190428924","0,3357704397"
,loan splitting approach; of which:,"0,3756616784","0,6010997014","0,583549681","0,6124220145","0,462961279","0,7380528649","0,4912356238","0,1230697705","0,0232353729","0,7189525536","0,6414675074","0,7970722498","0,3837880957","0,2064594171","0,4760536117","0,5823637287","0,5831168122","0,6650774343","0,1204853836","0,144984242","0,4003333122","0,07719439967","0,2070774408","0,4279452787","0,275222472","0,9488148944","0,369583023","0,5004750611","0,6173819505","0,5450804368","0,1132949249","0,6284598179","0,8905816566","0,8161781647"
Loan Splitting,exposures ≤ 55% of property value,"0,7438688894","0,6883396619","0,3657314781","0,303598182","0,845121464","0,378459953","0,9327296547","0,01125802748","0,5544161225","0,9873200893","0,8500646396","0,6155610718","0,6923761735","0,5385842966","0,1066365009","0,3700675115","0,7982175771","0,6541895204","0,564293647","0,1845057612","0,9748536631","0,7392007268","0,06357919169","0,9393527682","0,2826651773","0,1981882282","0,01144634185","0,6618464723","0,03413846287","0,03362084021","0,6376184738","0,1898035731","0,04958341473","0,3300902608"
Loan Splitting,exposures > 55% of property value,"0,06156007433","0,3154398001","0,05501657882","0,3580126544","0,993258935","0,1414973026","0,9657467992","0,5542221868","0,4582344342","0,6248195487","0,4135045878","0,852142572","0,798443195","0,1542226533","0,2358663746","0,2498842013","0,2156775256","0,4977121159","0,706987217","0,3849949472","0,9134730859","0,8795483497","0,2893054114","0,3285959007","0,4313658892","0,06290188073","0,8323116184","0,09599829121","0,7934774834","0,5056332593","0,709989801","0,1586221661","0,9342275364","0,2553661871"
Loan Splitting,Requirements not met,"0,3783534281","0,7105569867","0,8046487801","0,9514860978","0,412693651","0,6605656146","0,02575834629","0,9974761505","0,1496308876","0,6858446639","0,7640977173","0,3495794865","0,7311331662","0,5604224807","0,4873420299","0,3859992058","0,8687610251","0,7522337872","0,2215027215","0,4588865655","0,4649283219","0,7404885175","0,2811956099","0,203533586","0,8454043267","0,2290188889","0,426534283","0,2699870238","0,1764519797","0,2374461379","0,5810787589","0,5238673746","0,4261299048","0,4084547843"
,general commercial real estate; of which:,"0,5404423258","0,4693059717","0,7800872713","0,9730719292","0,2176034094","0,3637390856","0,04742965643","0,4700999167","0,0980639629","0,4134824287","0,3608349538","0,2203994321","0,01581996668","0,5469379276","0,4612779243","0,4490997288","0,04820424827","0,1542585444","0,05388035858","0,6231459391","0,1133973835","0,3129531855","0,9100322387","0,8869930972","0,5261111337","0,794791765","0,9258090264","0,251478506","0,6085212284","0,4630503819","0,392452713","0,2137597652","0,4974709813","0,5958932974"
,whole loan approach; of which:,"0,7465139296","0,6573452814","0,8289460001","0,7745550791","0,6683573408","0,7452567886","0,5020739317","0,9084989375","0,0933972914","0,8627584139","0,3122519663","0,5023482777","0,330169898","0,3101734254","0,4001237539","0,07919093043","0,5063758054","0,07769399062","0,1529269867","0,9433631525","0,3724631972","0,01936195736","0,7951612314","0,2421661547","0,6357175639","0,1930010666","0,5080081226","0,2485421884","0,5335073943","0,4558533367","0,698750311","0,4334664921","0,4685921705","0,2152417584"
Whole Loan,LTV ≤ 60%,"0,5562622499","0,518756718","0,4669723067","0,3813195434","0,2970833348","0,4620384647","0,04984741315","0,2709095699","0,300839132","0,8652681756","0,07458403111","0,124670967","0,39815389","0,4115481342","0,4453425245","0,4486150047","0,7414204085","0,2047443162","0,7061339685","0,6645771685","0,2905081782","0,8653480572","0,108203347","0,0221019267","0,09986017138","0,887694892","0,8023640466","0,3678307336","0,9557151871","0,4481464388","0,7777743491","0,5074086575","0,4092621467","0,3587239454"
Whole Loan,LTV > 60%,"0,2262950222","0,01755327062","0,4514826081","0,01118218691","0,07418196898","0,1245557568","0,8050278759","0,7106269428","0,272708347","0,9004924654","0,6118260382","0,2090456587","0,3861940749","0,186847494","0,1276976581","0,2042272748","0,5369853503","0,7522574235","0,8242191768","0,3758269076","0,2551671256","0,7011323997","0,4024506827","0,4962141897","0,02926917666","0,3995016968","0,8020451296","0,7866496408","0,9409308625","0,2173085681","0,477864","0,3360800472","0,4588722183","0,8990740652"
Whole Loan,Requirements not met,"0,4756397763","0,7918117449","0,7206216643","0,00335154399","0,2320540397","0,6532633998","0,6202086573","0,1582581711","0,5465180723","0,8727410513","0,5443296321","0,8701982296","0,7407471078","0,6152379876","0,5302156686","0,2460573852","0,9932330256","0,0455849789","0,03995782618","0,6735872906","0,7606124292","0,7415063149","0,4826314558","0,6697247292","0,3468131467","0,5094668951","0,4277321029","0,5278963014","0,2219385468","0,03754488823","0,7236991496","0,8455159341","0,89304405","0,152572583"
,loan splitting approach; of which:,"0,03937783853","0,5758481284","0,2131185285","0,7958081423","0,4534959507","0,0355091425","0,4753968958","0,1316324343","0,1542827275","0,430653019","0,6778628622","0,4483461734","0,8140111173","0,591384665","0,7946498101","0,6324033943","0,6784430821","0,4752339628","0,7842866495","0,8572907526","0,9501366096","0,8990176765","0,4881935579","0,2917026894","0,001484930133","0,7087783985","0,8752214345","0,1040240196","0,6388313972","0,6230605716","0,3443015101","0,1805090746","0,1595123142","0,4506036109"
Loan Splitting,exposures ≤ 55% of property value,"0,4376712533","0,1981727481","0,808157619","0,6178643664","0,1138857057","0,3346095953","0,1433085908","0,406908063","0,6160250601","0,4103660498","0,7811912254","0,7082763326","0,2721706773","0,4123717104","0,4835530083","0,05325655459","0,4440566251","0,7723971968","0,3303895168","0,7413098285","0,9780688465","0,2167276434","0,1488129557","0,5641938365","0,8918676872","0,09096896194","0,1480795831","0,1897428158","0,1783781243","0,1279133454","0,4183988762","0,5467664559","0,7622125209","0,03752219945"
Loan Splitting,exposures > 55% of property value,"0,2902640439","0,1609076983","0,8253991881","0,3814848044","0,1326625228","0,9583901413","0,8560019223","0,8851657027","0,8175504439","0,7035838218","0,594874234","0,5810300987","0,1929837009","0,6701833239","0,5468445085","0,2287045109","0,7738594994","0,6626095028","0,2988751086","0,5190488463","0,0922059742","0,3331744646","0,8925979224","0,7985807058","0,983725107","0,7285371861","0,6096198201","0,7810793486","0,6593748069","0,5883080052","0,7356693041","0,2404186712","0,009407975407","0,5876045756"
Loan Splitting,Requirements not met,"0,9796447042","0,05011709329","0,5998296465","0,8081602352","0,3618243558","0,1184418977","0,6744757895","0,2020093375","0,8395986672","0,1818167676","0,524534419","0,4624427768","0,7484326198","0,1503018801","0,6190456363","0,1166060128","0,710319388","0,3958666538","0,1873603849","0,9735861337","0,09278137028","0,4341045094","0,9634221311","0,1525987287","0,583575623","0,6663618169","0,9628215017","0,9452250668","0,8941959956","0,5979611504","0,8706575462","0,6524770252","0,9617091818","0,6874565426"
,income producing residential real estate; of which:,"0,5112953339","0,6371076645","0,2976030019","0,6062277489","0,6261087969","0,7170976529","0,3146889198","0,3625745661","0,6910884202","0,8494460181","0,2419790046","0,5466099897","0,05089608852","0,4186207726","0,5727917718","0,4569994813","0,8490506115","0,7953783535","0,6987185411","0,9835623292","0,7030258339","0,04389582992","0,8577991151","0,6629856371","0,7319382298","0,6330507803","0,4227899766","0,4782641848","0,8271136467","0,9388663546","0,9886622039","0,5741378026","0,9825798266","0,4472098982"
Income Producing RE,LTV ≤ 50%,"0,9496261225","0,5161637447","0,8052528269","0,3680617814","0,6985345965","0,441225324","0,7750474542","0,3523777917","0,008243863067","0,8804224766","0,2643115635","0,9896597125","0,1995673192","0,07129100948","0,2079085773","0,4464335465","0,6700139295","0,5049426009","0,7797150417","0,07780777158","0,9677015575","0,8710112345","0,2180393838","0,3428925","0,5165738933","0,05576599317","0,9979771357","0,7494136617","0,6139226138","0,5958867119","0,9507082335","0,9316783204","0,1307877014","0,3077812817"
Income Producing RE,50% <LTV ≤ 60%,"0,4374026724","0,7037249488","0,213096734","0,1532985358","0,6282354032","0,997094027","0,9244580045","0,9535675577","0,1799996715","0,6240881318","0,4063976097","0,2868522077","0,5696789056","0,3939427144","0,7344509073","0,4624785956","0,5876833482","0,3623733714","0,8427045191","0,5475221329","0,754786953","0,05133313758","0,7025573895","0,8966105476","0,4623357977","0,357198023","0,08652408067","0,4859541348","0,8065837082","0,8001207289","0,9333456422","0,6286593862","0,5928931019","0,5924887061"
Income Producing RE,60% <LTV ≤ 80%,"0,1175179001","0,3244066782","0,08305386877","0,2487797719","0,4310547126","0,1309347977","0,6170486493","0,5898178008","0,1186327393","0,6338273272","0,2022825179","0,03491678968","0,4026546102","0,3015544339","0,005716420703","0,1212672856","0,3795757677","0,4856176471","0,5438694962","0,2701711974","0,09457177258","0,5117006194","0,01879560596","0,150034509","0,1344065865","0,4312405046","0,7909893188","0,303982168","0,0689765121","0,9867949727","0,3377627585","0,8986939266","0,5847000275","0,4900878948"
Income Producing RE,80% <LTV ≤ 90%,"0,4280631769","0,02672691694","0,3562169223","0,9206049042","0,147081055","0,1779978595","0,2912557993","0,6464571308","0,6525715643","0,04876299078","0,7319597219","0,1044023862","0,4449174013","0,07497365448","0,3161761699","0,7205035885","0,5138187284","0,4064588898","0,861781834","0,7322639864","0,7643193031","0,7615997599","0,1815849778","0,5009682596","0,4481623966","0,3024168385","0,8153775906","0,04348799154","0,3159617883","0,2750970477","0,5415940601","0,6169559177","0,5386795607","0,9393052499"
Income Producing RE,90% <LTV ≤ 100%,"0,5630494459","0,525667332","0,7721429085","0,5244765037","0,4774171201","0,2494808759","0,07902556405","0,1687215573","0,5652685137","0,2695051729","0,9915965875","0,3569760747","0,1569742143","0,3369577056","0,09695832512","0,2992737509","0,1745793113","0,4195615624","0,5392968478","0,3953021564","0,4286373483","0,8459212338","0,6724233059","0,0609976252","0,1197227282","0,851606267","0,9158498573","0,4275052556","0,3111317422","0,02025918093","0,263038143","0,9356056477","0,605102333","0,3366770762"
Income Producing RE,LTV > 100%,"0,1323061267","0,2564637404","0,1901713565","0,182804821","0,5553093477","0,5523150587","0,02568981204","0,8330009368","0,1021016297","0,0990139384","0,2185264717","0,5831700492","0,1550114633","0,2750462589","0,7152883805","0,2669295305","0,7664213935","0,3503584953","0,9166780553","0,7683302461","0,1586185499","0,1857648499","0,1382189595","0,8349743661","0,6919419743","0,4832393145","0,4894274945","0,7438527043","0,05040316119","0,2759664906","0,7941426642","0,3862156762","0,8050883137","0,3284693153"
Income Producing RE,Requirements not met,"0,2586871693","0,4070925795","0,5592235893","0,6316302359","0,5257705584","0,2120713005","0,8631985985","0,4378358691","0,1231469191","0,8350951121","0,6325346835","0,660469316","0,7500393648","0,5761929894","0,141388048","0,5709936599","0,8291778746","0,4291697971","0,5763962694","0,2659490391","0,5456742386","0,4387914432","0,8075196933","0,06363365244","0,8974146949","0,1670291595","0,3189143369","0,3977377372","0,3110775543","0,11568377","0,8251350613","0,436598733","0,04682923399","0,5044682188"
,income producing commercial real estate; of which:,"0,8324116558","0,9520987924","0,1286109796","0,9016238594","0,977231585","0,5470674969","0,7508173174","0,4085575253","0,703302203","0,4593692158","0,6073886141","0,907381432","0,1417856595","0,05518602991","0,6347136582","0,9555498263","0,6457718214","0,4866312794","0,07678150853","0,03268288038","0,8296893292","0,5273704296","0,2153032028","0,6328807266","0,3029202861","0,05136638385","0,5832977053","0,7368109185","0,7945481404","0,2640328466","0,5841697914","0,06435604557","0,105426689","0,2296496376"
Income Producing CRE,LTV ≤ 60%,"0,3372168528","0,5819032308","0,7475451631","0,8163408874","0,698302744","0,3476789018","0,7192044071","0,6439364541","0,9515891425","0,2164772804","0,9628076429","0,1982525449","0,4059515868","0,7524488642","0,09811489734","0,8140705316","0,8054532481","0,6965442708","0,7162289021","0,03692118175","0,2977382797","0,3334215706","0,09158972382","0,07780494957","0,454424084","0,7853602065","0,3261716591","0,3633300251","0,6617605577","0,4735687183","0,1294041434","0,2795656702","0,3218944102","0,1171557791"
Income Producing CRE,60% < LTV ≤ 80%,"0,1580681848","0,4155957991","0,3365725909","0,168669114","0,6873124596","0,962711665","0,3884600827","0,8749609171","0,5095693658","0,2245469445","0,4772837803","0,3840946622","0,59589405","0,590862015","0,6740261288","0,4956774438","0,4874696748","0,9655777773","0,4417822526","0,7171925988","0,5010824673","0,5121469253","0,5387587036","0,03075076172","0,5121771394","0,8718379811","0,7405058134","0,9487482547","0,4992390778","0,4861882002","0,7667906468","0,8202548006","0,350632665","0,7925768479"
